"Popolazione residente per età, sesso e stato civile al 1° gennaio 2022"
"Codice ripartizione";"Ripartizione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"3";"Centro";22;56654;174;3;1;4;0;0;56836;49866;994;10;1;2;0;0;50873;107709
"3";"Centro";23;58006;326;6;1;7;0;0;58346;50159;1532;13;0;2;0;0;51706;110052
"3";"Centro";24;57158;549;7;1;10;0;0;57725;49560;2268;28;2;5;0;0;51863;109588
"3";"Centro";25;56700;950;13;5;6;0;0;57674;49002;3201;46;5;10;2;0;52266;109940
"3";"Centro";26;56458;1465;29;0;18;0;1;57971;47950;4376;68;6;17;4;0;52421;110392
"3";"Centro";27;55290;2200;35;0;20;1;0;57546;47426;5984;95;9;20;2;0;53536;111082
"3";"Centro";28;54976;3176;43;6;25;1;0;58227;46478;8025;137;14;34;5;0;54693;112920
"3";"Centro";29;56012;4753;94;7;32;1;0;60899;46560;10989;203;32;27;6;0;57817;118716
"3";"Centro";30;53387;6894;123;4;43;1;0;60452;43668;13497;318;30;33;3;0;57549;118001
"3";"Centro";31;53319;9272;178;4;47;5;0;62825;42483;16822;410;47;48;1;1;59812;122637
"3";"Centro";32;50008;11784;219;11;54;0;0;62076;39689;19975;577;56;49;3;0;60349;122425
"3";"Centro";33;48923;15017;315;15;65;2;0;64337;37874;24072;762;84;79;4;0;62875;127212
"3";"Centro";34;45277;17350;383;10;81;1;0;63102;34970;26384;856;96;74;6;0;62386;125488
"3";"Centro";35;42354;20338;487;21;74;3;0;63277;32677;28990;1186;128;54;7;0;63042;126319
"3";"Centro";36;41815;23439;710;19;90;4;0;66077;32164;32330;1367;152;89;3;0;66105;132182
"3";"Centro";37;40019;26958;847;46;90;0;1;67961;30785;34819;1609;166;78;4;0;67461;135422
"3";"Centro";38;38992;29903;963;42;96;4;1;70001;29756;37607;1920;203;67;2;0;69555;139556
"3";"Centro";39;37979;33031;1192;57;113;2;1;72375;29095;40313;2205;268;104;3;0;71988;144363
"3";"Centro";40;35874;35201;1371;47;99;2;1;72595;27779;42458;2657;311;84;0;0;73289;145884
"3";"Centro";41;34874;38043;1662;74;99;0;0;74752;26771;44750;2883;393;70;5;0;74872;149624
"3";"Centro";42;34254;40502;2058;98;116;2;0;77030;26440;47791;3489;533;75;4;0;78332;155362
"3";"Centro";43;34790;43920;2339;138;102;3;1;81293;26869;51205;4159;608;76;2;0;82919;164212
"3";"Centro";44;34085;46421;2694;131;120;2;0;83453;26011;53854;4726;708;85;0;1;85385;168838
"3";"Centro";45;33466;49612;3217;167;129;5;1;86597;25885;57266;5101;862;77;3;0;89194;175791
"3";"Centro";46;33703;53136;3609;260;142;1;1;90852;25866;61185;5972;987;88;3;0;94101;184953
